	Unnamed: 0	comments	toxicity	preprocessed
0	25	"[id695904995|Ярослав], как же обо%рался ОКР когда отправили спортсменку в командный зачёт с допингом от 25 декабря, подставили не только Камилу но и всю команду. Повыгонять этих гадов в шею...  P.S. КРЕМЛЕБОТ готов написать ""ВПЕРЁД РОССИЯ!!?!"" только за 15 рублей."	1	"[иd695904995|Ярослав], как же обосранец очко когда отправили спортсменку в командный зачёт с допингом от 25 декабря, подставили не только Камилу но и всю команду. Повыгонять этих гадов в шею...  бля хуеплет готов написать ""ВПЕРЁД РОССИЯ!!?!"" только за 15 рублей."
1	31	[id483002399|Максим], дол..еб, ты под каждым постом это писать будешь?	1	[иd483002399|Максим], долбоеб ты под каждым постом это писать будешь?
2	33	[id483002399|Максим], лахтодырка-это твоя мама) А ты просто д.бил с пивным животом??	1	[иd483002399|Максим], лахтодырка твоя мама) А ты просто дебил с пивным животом??
3	34	[id238092031|?лег], от школоты иного ответа, кроме как про мамок и не ожидалось, лахтодырка ??! Пиcдyй, учебник кури??.	1	[иd238092031|?лег], от школота иного ответа, кроме как про мамок и не ожидалось, лахтодырка ??! пиздуй учебник кури??.
4	36	[id238092031|?лег], нет, лахтодырка ??, грамотный. Просто автофильтр здесь не пропустит, если правильно написать.  Уеище тyпое, ты даже этого не знало?????	1	[иd238092031|?лег], нет, лахтодырка ??, грамотный. Просто автофильтр здесь не пропустит, если правильно написать.  уебище тупое, ты даже этого не знало?????
5	39	[id483002399|Максим], у тебя всё вроде ожидаемо, но свою девственность ан.льную ты проворонил, Машка)	1	[иd483002399|Максим], у тебя всё вроде ожидаемо, но свою девственность ебальник ты проворонил, Машка)
6	67	Кадыров все таки красавчик, вaту нагнул	1	Кадыров все таки красавчик, вату нагнул
7	97	Сколько на….вертил под конец, идиот, извинился, пожаловался, поскулил, поплакал, приехал, уехал, распылил, пнул. Вообще такого урода не жалко	1	Сколько набздел под конец, идиот, извинился, пожаловался, поскулил, поплакал, приехал, уехал, распылил, пнул. Вообще такого урода не жалко
8	153	[id248753181|Людмила], про бояться смешно, конечно, нacpaльного и весь его штаб уничтожили менее чем за полгода, сам он уже вряд ли когда-нибудь выйдет. От его сторонников никаких протестов, митингов и т.д., слили вы вождя своего, oчкoшники, и как вас после этого серьезно воспринимать?))	1	[иd248753181|Людмила], про бояться смешно, конечно, насрать и весь его штаб уничтожили менее чем за полгода, сам он уже вряд ли когда-нибудь выйдет. От его сторонников никаких протестов, митингов и мудак слили вы вождя своего, чмошник и как вас после этого серьезно воспринимать?))
9	163	По чужим х@м попрыгала, а теперь о муже вспомнила?	1	По чужим хер попрыгала, а теперь о муже вспомнила?
10	212	Мepзкая ситуация, видимо стоит ожидать какой-то провокации на этой или следующей неделе. Думаю любому здравомыслящему человеку понятно, что России эта война вообще не нужна, она ничего не получит от вторжения, только убытки. А вот штатам как раз эта война очень даже на руку - новые зверские санкции, окончательная изоляция России, возможность прибрать к рукам европейский рынок и создать образ нового мирового врага. Такие твapи они, конечно, ну надеюсь хоть мoзгов хватит третью мировую не начинать	1	Мерзкая ситуация, видимо стоит ожидать какой-то провокации на этой или следующей неделе. Думаю любому здравомыслящему человеку понятно, что России эта война вообще не нужна, она ничего не получит от вторжения, только убытки. А вот штатам как раз эта война очень даже на руку - новые зверские санкции, окончательная изоляция России, возможность прибрать к рукам европейский рынок и создать образ нового мирового врага. Такие твари они, конечно, ну надеюсь хоть мозгов хватит третью мировую не начинать
11	215	[id89027568|Славик], нет, понятное дело что США тоже имееют какую то выгоду с этого. Но зачем Путин стянул такое количество войск? Ну мобилизовал бы 10-20 тыс человек там. Типо ты реально считаешь, что украинская армия, даже если захватит ЛДНР военным путём, пойдет дальше захватывать РФ? Или какой бл*ть в этом смысл?	0	[иd89027568|Славик], нет, понятное дело что США тоже черт какую то выгоду с этого. Но зачем Путин стянул такое количество войск? Ну мобилизовал бы бля тыс человек там. тупой ты реально считаешь, что украинская армия, даже если захватит пидор военным путём, пойдет дальше захватывать РФ? Или какой блять в этом смысл?
12	216	[id157184976|Дмитрий], у хо(х)луш там тоже армия стоит и ничего.	1	[иd157184976|Дмитрий], у похеру там тоже армия стоит и ничего.
13	219	[id157184976|Дмитрий], Боевики захватили не их землю, а свою. Во первых. А во вторых садись за стол переговоров и подписывай с ними мирный договор. Дай этим людям то что они хотят а хотят они справделивое - свои права на свою землю и на своё будущее. И воевать не нужно будет. А вместо этого ты говоришь х*й тебе я вас всех убью но ничего вам не дам, вы прогнётесь и будете подчиняться нам живущим во Львове и мы будем решать на каком языке будут говорить ваши дети - то кто тут боевик и окупант ?	0	[иd157184976|Дмитрий], Боевики захватили не их землю, а свою. Во первых. А во вторых садись за стол переговоров и подписывай с ними мирный договор. Дай этим людям то что они хотят а хотят они пердение - свои права на свою землю и на своё будущее. И воевать не нужно будет. А вместо этого ты говоришь хуй тебе я вас всех убью но ничего вам не дам, вы прогнётесь и будете подчиняться нам живущим во Львове и мы будем решать на каком языке будут говорить ваши дети - то кто тут боевик и шкура ?
14	255	Возобновят обсуждение, когда цены на продукты опять скачкообразно поднимутся. То на Олимпиадах присоединяют Крым, увеличивают пенсионный возраст, то когда экономическая ж.,вспоминают о ценностях и качают  патриотизм. «Отвлекай и властвуй»	0	Возобновят обсуждение, когда цены на продукты опять скачкообразно поднимутся. То на Олимпиадах присоединяют Крым, увеличивают пенсионный возраст, то когда экономическая говнолинк о ценностях и качают  патриотизм. говенка и нахуй
15	259	[id3986424|Антон], мозги - москальская выдумка, чтоб ххлов унижать	1	[иd3986424|Антон], мозги - высраться выдумка, чтоб хуйло унижать
16	293	#иды поди.	1	#иды поди.
17	323	[id613406373|Kirill], запиши себе на лбу , что ты ч м о , без мозга , но с большим желудком .	1	[иd613406373|Kириll], запиши себе на лбу , что ты ч м о , без мозга , но с большим желудком .
18	331	[id3161208|Андрей], детский попытка перевода стрелок, зоогeй????.	1	[иd3161208|Андрей], детский попытка перевода стрелок, злоеб
