	comments	toxicity
25	"[id695904995|Ярослав], как же обо%рался ОКР когда отправили спортсменку в командный зачёт с допингом от 25 декабря, подставили не только Камилу но и всю команду. Повыгонять этих гадов в шею...  P.S. КРЕМЛЕБОТ готов написать ""ВПЕРЁД РОССИЯ!!?!"" только за 15 рублей."	1
31	[id483002399|Максим], дол..еб, ты под каждым постом это писать будешь?	1
33	[id483002399|Максим], лахтодырка-это твоя мама) А ты просто д.бил с пивным животом??	1
34	[id238092031|?лег], от школоты иного ответа, кроме как про мамок и не ожидалось, лахтодырка ??! Пиcдyй, учебник кури??.	1
36	[id238092031|?лег], нет, лахтодырка ??, грамотный. Просто автофильтр здесь не пропустит, если правильно написать.  Уеище тyпое, ты даже этого не знало?????	1
39	[id483002399|Максим], у тебя всё вроде ожидаемо, но свою девственность ан.льную ты проворонил, Машка)	1
67	Кадыров все таки красавчик, вaту нагнул	1
97	Сколько на….вертил под конец, идиот, извинился, пожаловался, поскулил, поплакал, приехал, уехал, распылил, пнул. Вообще такого урода не жалко	1
153	[id248753181|Людмила], про бояться смешно, конечно, нacpaльного и весь его штаб уничтожили менее чем за полгода, сам он уже вряд ли когда-нибудь выйдет. От его сторонников никаких протестов, митингов и т.д., слили вы вождя своего, oчкoшники, и как вас после этого серьезно воспринимать?))	1
163	По чужим х@м попрыгала, а теперь о муже вспомнила?	1
212	Мepзкая ситуация, видимо стоит ожидать какой-то провокации на этой или следующей неделе. Думаю любому здравомыслящему человеку понятно, что России эта война вообще не нужна, она ничего не получит от вторжения, только убытки. А вот штатам как раз эта война очень даже на руку - новые зверские санкции, окончательная изоляция России, возможность прибрать к рукам европейский рынок и создать образ нового мирового врага. Такие твapи они, конечно, ну надеюсь хоть мoзгов хватит третью мировую не начинать	1
215	[id89027568|Славик], нет, понятное дело что США тоже имееют какую то выгоду с этого. Но зачем Путин стянул такое количество войск? Ну мобилизовал бы 10-20 тыс человек там. Типо ты реально считаешь, что украинская армия, даже если захватит ЛДНР военным путём, пойдет дальше захватывать РФ? Или какой бл*ть в этом смысл?	0
216	[id157184976|Дмитрий], у хо(х)луш там тоже армия стоит и ничего.	1
219	[id157184976|Дмитрий], Боевики захватили не их землю, а свою. Во первых. А во вторых садись за стол переговоров и подписывай с ними мирный договор. Дай этим людям то что они хотят а хотят они справделивое - свои права на свою землю и на своё будущее. И воевать не нужно будет. А вместо этого ты говоришь х*й тебе я вас всех убью но ничего вам не дам, вы прогнётесь и будете подчиняться нам живущим во Львове и мы будем решать на каком языке будут говорить ваши дети - то кто тут боевик и окупант ?	0
255	Возобновят обсуждение, когда цены на продукты опять скачкообразно поднимутся. То на Олимпиадах присоединяют Крым, увеличивают пенсионный возраст, то когда экономическая ж.,вспоминают о ценностях и качают  патриотизм. «Отвлекай и властвуй»	0
259	[id3986424|Антон], мозги - москальская выдумка, чтоб ххлов унижать	1
293	#иды поди.	1
323	[id613406373|Kirill], запиши себе на лбу , что ты ч м о , без мозга , но с большим желудком .	1
331	[id3161208|Андрей], детский попытка перевода стрелок, зоогeй????.	1
367	[id117606926|Кирилл], так в чём разница то клоун?)) какая нах разница сколько туров и президентов, смысл от этого не меняется. что у тебя в стране изменилось за эти 20 лет и 4 президентов?))) не КУЯ. и причём здесь вообще Россия? чувак херачит что у вас там всё особенное, не в отличии от России, а в принципе от всех.	1
371	[id117606926|Кирилл], пхахахах руснявое быдло))) всё с тобой ясно, малолетний клоун. простынь отсебятины и бессмыслицы. и кумиры смотрю у тебя под стать чикатило. бендера и власов герои 3.14дарасов.	1
417	"""что если бы стал президентом, то закрыл бы все театры, потому что это «даст возможность вернуть людей в церковь»"". // То есть церковь, как податель массзрелищ, проигрывает в этом отношении театрам?  Он сам понял, что сказал? Придурков из дурки набрали. Кто там, бл, сидит?! // ""Членов ЛГБТ, феминисток и прочих странных граждан"" меня тошнит от этих персонажей, но они тоже граждане. И тоже согласно конституции имеют право на учёт своего мнения. // Понятно было сразу, что появившись, проект просто так не уйдет. ""Все, кто проголосовал против, боты"". С самого начала было понятно, что против голосовать бессмысленно, все равно примут. Нужны глубокие поправки с разъяснением, чего и как затрагивает этот указ. В имеющемся формате — это инструмент для узаконенной реализации ""чего моя левая нога хочет"". Я писал об этом у Панчина, но похоже люди решили просто спрятать голову в песок."	0
548	[id162364532|Моника], пока вaта патриотная в таком ширптребном состоянии лезкт во власть...уж лучше бы гея поставили ухоженного, тем более культурная столица	1
572	[id12908969|Mikhail], а эти чинуши или их дети за 20 лет что-то сделали конкурентное? Государственных денег не хватит, учитывая, что большая часть разворовывается .. а клиентура - это вообще смешно ... кто этим гоуном будет пользоваться? Даже УАЗ загибается, имея госплечо ... никому не надо его продукция ...	1
576	Принятие такого рода ограничительных мер, мешающих работе государственных организаций - это вредительство на законодательном уровне. Сперва они запрещают закупать нормальный софт, теперь грозятся наложить свои лапы на нормальное железо… А тем, кому придётся на этом г-не работать достанется только низкооплачиваемая головная боль.	1
578	[id452831118|Александр], наоборот. Пусть развивают, и выпускают на рынок конкурентоспособные продукты. А не искусственно создают нишевую монополию для гaвнoделов, которые станут обогащаться, массово толкая свой мусор на госзакупках и госзаказах. При условиях, в которых всё равно купят за неимением лучшего, развития не будет.	1
592	[id452831118|Александр], так государственное предприятие будет закупать всякое гумно, тратя на это государственные деньги, и потом рентабельность и эффективность этих предприятий будет стремиться к нулю. Далее из бюджета, который состоит в том числе из налогов граждан, эти предприятия будут спасаться. Вот и нахрен оно такое надо?	0
